Date,Time,Average,Peak
2014:12:04,19:35:19.617,60.823264,71.469643
2014:12:04,19:35:19.717,80.152497,84.525677
2014:12:04,19:35:19.817,77.192070,84.525677
2014:12:04,19:35:19.917,66.549731,84.525677
2014:12:04,19:35:20.017,83.488762,84.525677
2014:12:04,19:35:20.117,81.713780,85.344102
2014:12:04,19:35:20.217,82.170916,83.186776
2014:12:04,19:35:20.318,71.799187,83.186776
2014:12:04,19:35:20.417,76.312074,83.186776
2014:12:04,19:35:20.518,72.749223,83.186776
2014:12:04,19:35:20.618,63.396574,83.186776
2014:12:04,19:35:20.718,63.776158,83.186776
2014:12:04,19:35:20.818,71.034805,83.186776
2014:12:04,19:35:20.918,76.373257,83.186776
2014:12:04,19:35:21.018,76.092604,83.186776
2014:12:04,19:35:21.117,79.334403,83.186776
2014:12:04,19:35:21.217,79.330912,83.186776
2014:12:04,19:35:21.318,79.023714,83.186776
2014:12:04,19:35:21.418,82.523294,83.186776
2014:12:04,19:35:21.518,79.250318,84.467798
2014:12:04,19:35:21.617,88.183242,90.905660
2014:12:04,19:35:21.719,74.075005,90.905660
2014:12:04,19:35:21.818,73.038352,90.905660
2014:12:04,19:35:21.918,67.802231,90.905660
2014:12:04,19:35:22.018,58.903350,90.905660
2014:12:04,19:35:22.117,80.781753,90.905660
2014:12:04,19:35:22.218,74.007358,90.905660
2014:12:04,19:35:22.318,62.168856,62.369472
2014:12:04,19:35:22.418,65.691816,65.833526
2014:12:04,19:35:22.518,67.755358,73.015505
2014:12:04,19:35:22.618,78.667018,94.393638
2014:12:04,19:35:22.718,80.064945,94.393638
2014:12:04,19:35:22.818,84.603065,94.393638
2014:12:04,19:35:22.918,78.171553,94.393638
2014:12:04,19:35:23.018,71.341008,94.393638
2014:12:04,19:35:23.117,74.875948,94.393638
2014:12:04,19:35:23.217,71.093782,94.393638
2014:12:04,19:35:23.318,74.011786,94.393638
2014:12:04,19:35:23.418,78.910045,94.393638
2014:12:04,19:35:23.518,86.248568,94.393638
2014:12:04,19:35:23.618,92.361922,94.393638
2014:12:04,19:35:23.717,88.255235,95.013043
2014:12:04,19:35:23.818,82.334528,95.013043
2014:12:04,19:35:23.918,88.766793,95.013043
2014:12:04,19:35:24.018,81.399847,95.013043
2014:12:04,19:35:24.117,79.636236,95.013043
2014:12:04,19:35:24.217,70.857925,95.013043
2014:12:04,19:35:24.318,63.414693,95.013043
2014:12:04,19:35:24.418,63.746807,75.485351
2014:12:04,19:35:24.518,86.284262,86.310143
2014:12:04,19:35:24.618,76.954651,86.310143
2014:12:04,19:35:24.718,74.235834,93.260419
2014:12:04,19:35:24.818,76.677255,93.260419
2014:12:04,19:35:24.918,72.443165,93.260419
2014:12:04,19:35:25.017,77.373700,93.260419
2014:12:04,19:35:25.117,76.019559,93.260419
2014:12:04,19:35:25.217,79.697515,93.260419
2014:12:04,19:35:25.318,93.243269,93.969649
2014:12:04,19:35:25.418,92.753305,94.157980
2014:12:04,19:35:25.518,90.241608,94.157980
2014:12:04,19:35:25.618,82.261638,100.934368
2014:12:04,19:35:25.718,77.567157,100.934368
2014:12:04,19:35:25.818,60.647152,100.934368
2014:12:04,19:35:25.918,63.407253,100.934368
2014:12:04,19:35:26.018,59.086924,100.934368
2014:12:04,19:35:26.117,83.420742,100.934368
2014:12:04,19:35:26.218,65.225600,100.934368
2014:12:04,19:35:26.318,83.849232,100.934368
2014:12:04,19:35:26.418,86.640228,100.934368
2014:12:04,19:35:26.517,57.989456,84.726501
2014:12:04,19:35:26.618,82.789289,86.371359
2014:12:04,19:35:26.718,88.086131,90.358130
2014:12:04,19:35:26.817,75.573525,90.358130
2014:12:04,19:35:26.918,66.700061,90.358130
2014:12:04,19:35:27.018,65.717927,90.358130
2014:12:04,19:35:27.117,79.540128,90.358130
2014:12:04,19:35:27.218,68.623519,90.358130
2014:12:04,19:35:27.318,64.554191,90.358130
2014:12:04,19:35:27.418,71.756802,90.358130
2014:12:04,19:35:27.518,80.591217,90.358130
2014:12:04,19:35:27.618,85.985202,91.007358
2014:12:04,19:35:27.718,65.951037,91.007358
2014:12:04,19:35:27.818,67.078146,91.007358
2014:12:04,19:35:27.918,62.720352,91.007358
2014:12:04,19:35:28.018,66.282824,91.007358
2014:12:04,19:35:28.117,61.328835,91.007358
2014:12:04,19:35:28.218,59.154029,91.007358
2014:12:04,19:35:28.318,63.201863,91.007358
2014:12:04,19:35:28.418,70.591169,91.007358
2014:12:04,19:35:28.518,69.339039,91.007358
2014:12:04,19:35:28.618,69.837190,69.837190
2014:12:04,19:35:28.718,65.992851,81.848361
2014:12:04,19:35:28.818,74.175143,81.848361
2014:12:04,19:35:28.918,82.463405,82.463405
2014:12:04,19:35:29.018,78.260039,83.682290
2014:12:04,19:35:29.117,69.231365,85.762234
2014:12:04,19:35:29.218,78.342951,85.762234
2014:12:04,19:35:29.318,78.147255,85.762234
2014:12:04,19:35:29.418,61.385309,85.762234
2014:12:04,19:35:29.518,61.379818,85.762234
2014:12:04,19:35:29.617,75.369418,85.762234
2014:12:04,19:35:29.717,83.656974,85.762234
2014:12:04,19:35:29.817,90.191391,90.642143
2014:12:04,19:35:29.917,81.789433,90.642143
2014:12:04,19:35:30.017,71.275509,90.642143
2014:12:04,19:35:30.117,88.608849,90.642143
2014:12:04,19:35:30.217,83.756306,90.642143
2014:12:04,19:35:30.317,64.049354,90.642143
2014:12:04,19:35:30.417,60.202439,90.642143
2014:12:04,19:35:30.517,63.470622,90.642143
2014:12:04,19:35:30.617,69.355931,90.642143
2014:12:04,19:35:30.717,59.706147,69.444151
2014:12:04,19:35:30.817,61.659881,69.444151
2014:12:04,19:35:30.917,52.897733,69.444151
2014:12:04,19:35:31.017,55.115767,69.444151
2014:12:04,19:35:31.117,51.618512,69.444151
2014:12:04,19:35:31.217,57.170718,69.444151
2014:12:04,19:35:31.317,62.092372,69.444151
2014:12:04,19:35:31.417,61.109034,69.444151
