Date	Time	AveragePeak
2014:12:04	19:43:35.324	85.897061	85.991608
2014:12:04	19:43:35.425	85.155218	86.558914
2014:12:04	19:43:35.525	82.436733	86.558914
2014:12:04	19:43:35.625	79.484775	86.558914
2014:12:04	19:43:35.725	81.252482	88.468445
2014:12:04	19:43:35.825	77.956942	88.468445
2014:12:04	19:43:35.924	75.326678	88.468445
2014:12:04	19:43:36.025	86.896364	88.468445
2014:12:04	19:43:36.125	85.367617	88.468445
2014:12:04	19:43:36.225	83.050155	88.468445
2014:12:04	19:43:36.325	80.664304	88.468445
2014:12:04	19:43:36.425	79.959001	88.468445
2014:12:04	19:43:36.525	79.102900	88.468445
2014:12:04	19:43:36.625	78.109957	88.468445
2014:12:04	19:43:36.725	91.488122	91.499988
2014:12:04	19:43:36.825	88.310411	91.499988
2014:12:04	19:43:36.925	84.533003	91.499988
2014:12:04	19:43:37.025	88.604038	91.499988
2014:12:04	19:43:37.125	83.905402	91.499988
2014:12:04	19:43:37.225	81.104184	91.499988
2014:12:04	19:43:37.325	80.951239	91.499988
2014:12:04	19:43:37.425	91.113650	91.499988
2014:12:04	19:43:37.525	88.440147	91.499988
2014:12:04	19:43:37.625	84.760448	91.499988
2014:12:04	19:43:37.725	84.017854	91.499988
2014:12:04	19:43:37.824	82.522213	91.499988
2014:12:04	19:43:37.925	83.750864	91.499988
2014:12:04	19:43:38.024	90.754059	91.499988
2014:12:04	19:43:38.125	94.801718	94.801718
2014:12:04	19:43:38.224	92.936405	94.801718
2014:12:04	19:43:38.325	87.865740	94.801718
2014:12:04	19:43:38.425	89.700933	94.801718
2014:12:04	19:43:38.525	83.831384	94.801718
2014:12:04	19:43:38.625	82.819024	94.801718
2014:12:04	19:43:38.725	82.956377	94.801718
2014:12:04	19:43:38.825	79.299461	81.481495
2014:12:04	19:43:38.925	76.172626	82.139914
2014:12:04	19:43:39.025	80.614974	82.139914
2014:12:04	19:43:39.125	83.710497	86.039905
2014:12:04	19:43:39.225	81.171297	86.039905
2014:12:04	19:43:39.325	85.234212	86.039905
2014:12:04	19:43:39.425	102.151749	102.157282
2014:12:04	19:43:39.525	94.872317	102.157282
2014:12:04	19:43:39.625	95.187306	102.157282
2014:12:04	19:43:39.725	88.051558	102.157282
2014:12:04	19:43:39.824	82.249075	102.157282
2014:12:04	19:43:39.924	83.404286	102.157282
2014:12:04	19:43:40.025	87.096320	102.157282
2014:12:04	19:43:40.125	94.676390	102.157282
2014:12:04	19:43:40.225	94.444979	102.157282
2014:12:04	19:43:40.324	95.328130	102.157282
2014:12:04	19:43:40.425	96.176485	102.157282
2014:12:04	19:43:40.524	95.950564	102.157282
2014:12:04	19:43:40.625	95.546195	102.157282
2014:12:04	19:43:40.725	91.554357	102.157282
2014:12:04	19:43:40.825	92.242003	102.157282
2014:12:04	19:43:40.925	87.553457	91.744218
2014:12:04	19:43:41.025	87.689906	91.744218
2014:12:04	19:43:41.125	87.815544	91.744218
2014:12:04	19:43:41.225	95.792792	95.792792
2014:12:04	19:43:41.325	95.690602	98.490870
2014:12:04	19:43:41.425	81.606732	98.490870
2014:12:04	19:43:41.525	86.047411	98.490870
2014:12:04	19:43:41.625	86.750474	98.490870
2014:12:04	19:43:41.725	86.279816	98.490870
2014:12:04	19:43:41.825	85.117347	98.490870
2014:12:04	19:43:41.925	78.127005	98.490870
2014:12:04	19:43:42.025	83.792636	98.490870
2014:12:04	19:43:42.125	93.837747	98.490870
2014:12:04	19:43:42.225	81.601034	98.490870
2014:12:04	19:43:42.325	83.467211	98.490870
2014:12:04	19:43:42.425	84.966866	98.490870
2014:12:04	19:43:42.525	90.387677	98.490870
2014:12:04	19:43:42.625	86.568697	98.490870
2014:12:04	19:43:42.725	83.497472	98.490870
2014:12:04	19:43:42.825	79.209964	98.490870
2014:12:04	19:43:42.925	77.653910	98.490870
2014:12:04	19:43:43.025	77.958502	78.305622
2014:12:04	19:43:43.126	82.284056	82.358917
2014:12:04	19:43:43.225	77.753313	82.358917
2014:12:04	19:43:43.325	77.191907	82.358917
2014:12:04	19:43:43.425	78.268393	82.358917
2014:12:04	19:43:43.525	78.236122	82.358917
2014:12:04	19:43:43.624	76.298600	82.358917
2014:12:04	19:43:43.725	74.174610	82.358917
2014:12:04	19:43:43.825	83.216854	88.306970
2014:12:04	19:43:43.933	80.479582	88.306970
2014:12:04	19:43:44.025	80.193961	88.306970
2014:12:04	19:43:44.124	80.240494	88.306970
2014:12:04	19:43:44.225	77.332425	88.306970
2014:12:04	19:43:44.325	77.474102	88.306970
2014:12:04	19:43:44.425	78.078495	88.306970
2014:12:04	19:43:44.525	79.109617	88.306970
2014:12:04	19:43:44.625	78.418779	88.306970
2014:12:04	19:43:44.725	77.904085	88.306970
2014:12:04	19:43:44.825	86.803523	88.306970
2014:12:04	19:43:44.925	91.463886	91.496822
2014:12:04	19:43:45.024	89.157495	91.496822
2014:12:04	19:43:45.124	88.936514	88.936514
2014:12:04	19:43:45.225	94.332324	97.294628
2014:12:04	19:43:45.325	95.576373	97.294628
2014:12:04	19:43:45.431	86.849239	97.294628
2014:12:04	19:43:45.525	91.210386	97.294628
2014:12:04	19:43:45.624	94.925218	97.294628
2014:12:04	19:43:45.725	90.317514	97.294628
2014:12:04	19:43:45.825	89.208606	97.294628
2014:12:04	19:43:50.892	73.388103	97.294628
2014:12:04	19:43:50.991	73.929412	97.294628
2014:12:04	19:43:51.091	74.388939	97.294628
2014:12:04	19:43:51.191	74.006216	97.294628
2014:12:04	19:43:51.292	74.886858	97.294628
2014:12:04	19:43:51.391	73.758634	97.294628
2014:12:04	19:43:51.491	74.478019	97.294628
