Time,CBuilding,Playground,Dorm5,Dorm9,Dorm8,Road,Playground2,CBuilding2,Road2,Road3
22:11.0,81.439136,94.564759,91.75039,50.607041,53.639014,89.539104,84.469138,47.983794,87.528507,57.929279
22:11.1,73.715152,92.076998,91.752222,49.308241,54.342608,89.370046,64.554231,51.824365,79.543983,66.545133
22:11.2,63.400388,95.288324,88.629724,48.11275,50.177837,90.256007,69.406105,48.557592,81.030843,62.306754
22:11.3,54.366686,90.032118,88.024152,52.949808,55.589606,87.551534,65.693826,56.12975,83.918971,61.341731
22:11.4,48.741319,87.254911,86.464797,50.777795,51.233919,91.054912,64.036783,54.261217,64.403604,80.041357
22:11.5,51.728303,94.772391,82.779991,47.797811,62.298788,87.927881,63.426947,53.581998,78.182185,84.52104
22:11.6,48.9597,87.34444,78.535321,67.420197,53.235158,90.015814,60.145245,53.706807,74.699881,92.643064
22:11.7,49.035372,93.566429,81.103586,97.546168,46.649801,89.017194,63.438456,49.879081,75.665063,95.392224
22:11.8,48.599636,94.490831,51.598605,92.715673,52.193362,90.112213,60.205568,48.66697,72.126209,86.324978
22:11.9,49.617947,88.927763,48.736186,87.478447,47.882565,88.88816,59.601015,59.373364,70.289545,79.844637
22:12.0,48.472549,94.14668,63.333181,86.346922,47.29429,87.8646,60.405013,65.155164,73.412981,86.607788
22:12.1,48.210295,90.331034,54.529081,76.719803,48.743313,88.681047,60.973735,52.5653,62.758748,88.409341
22:12.2,48.256561,90.738091,49.980047,62.260574,49.112565,87.300053,60.094935,49.319821,50.283737,80.91813
22:12.3,47.892833,89.893454,59.901948,73.442156,47.108466,89.180575,72.682325,57.411884,48.632091,91.735808
22:12.4,60.251799,93.404199,55.000555,82.992842,49.527045,86.822209,86.457433,49.831705,47.796823,91.82191
22:12.5,62.245403,94.80732,53.142675,85.746633,55.083275,88.90015,84.87714,71.791143,46.681357,88.443006
22:12.6,53.149707,94.142801,73.680367,78.368042,50.148831,87.882318,86.84331,71.002389,57.065422,85.110116
22:12.7,54.720941,92.441369,56.901099,81.23922,47.938192,87.821447,77.448951,73.615312,86.161933,83.560526
22:12.8,83.136648,87.794817,52.381231,66.449653,57.401245,90.065073,87.948547,65.468586,85.434655,80.460871
22:12.9,90.215064,90.545039,48.597081,63.086697,48.172842,90.055729,81.13615,83.123604,65.849898,66.356819
22:13.0,100.363438,94.439356,49.086447,55.19309,48.687038,90.769731,76.51425,59.601209,81.95713,62.020102
22:13.1,101.522931,89.786594,49.979377,54.528647,45.534679,90.530503,62.101878,80.919739,85.761682,69.161392
22:13.2,100.326253,95.502532,53.770162,51.632663,50.028223,90.161438,61.586455,78.824555,67.631542,62.939419
22:13.3,101.122631,85.271348,70.354534,47.072399,59.222961,91.008868,65.447259,66.63961,56.060528,48.422242
22:13.4,97.279795,92.416925,50.369573,48.586945,47.116496,89.690726,56.856983,64.133816,60.657603,49.243906
22:13.5,93.248166,88.569521,50.868408,47.753033,58.514818,88.457967,57.397383,57.635562,58.639121,49.150193
22:13.6,91.080607,92.213629,48.307596,47.16016,49.236936,90.037803,54.234805,56.659885,84.585657,55.275314
22:13.7,87.815927,90.029567,50.655405,48.116428,47.034088,87.48519,55.173959,53.996752,79.2874,64.193387
22:13.8,86.208714,95.48054,49.424142,51.826663,47.051783,89.742255,54.363794,54.534764,86.252704,48.846678
22:13.9,80.760461,88.818188,55.208902,46.456805,48.870419,86.468162,55.206491,58.761554,85.748601,47.538406
22:14.0,74.22068,94.535182,54.267754,51.28774,47.388246,88.143554,58.299278,69.68524,81.102654,49.155425
22:14.1,69.118035,92.313191,56.403949,53.885904,47.242826,87.574416,59.233066,54.754156,72.192609,52.292392
22:14.2,63.569282,96.726028,63.648368,50.898307,48.382001,87.079192,59.28262,69.131745,74.44574,46.487376
22:14.3,57.91626,90.114168,59.866768,53.646407,48.135442,89.193616,60.085893,73.296905,75.088616,49.463607
22:14.4,53.044017,91.653776,73.469893,47.838189,47.323635,88.564914,55.779927,59.686865,73.844673,50.330561
22:14.5,48.00249,95.158788,83.534404,48.119588,47.557707,88.291446,70.397611,63.976357,77.030647,49.293894
22:14.6,49.370608,95.244099,81.696257,59.885386,48.934463,88.68672,66.96996,66.136568,66.172376,48.04993
22:14.7,47.687573,91.407732,87.147969,52.628026,46.804298,88.557695,59.559041,59.84999,77.355445,49.251061
22:14.8,49.003913,94.780017,83.958518,53.744235,47.062757,89.718113,63.21529,76.002848,84.815053,48.851895
22:14.9,48.779733,88.768226,84.414495,51.050891,48.10932,89.275334,65.683965,72.679401,77.959389,58.520586
22:15.0,48.410959,95.595649,84.349929,46.514846,46.186564,89.303999,80.630503,73.195988,83.154682,57.774889
22:15.1,48.192395,88.724876,87.975259,48.439334,49.671945,89.613733,85.222251,70.10448,79.548202,54.495039
22:15.2,48.330777,95.108728,85.320083,49.101679,56.137021,89.078478,69.503702,66.896081,75.257604,47.519603
22:15.3,48.540529,89.789868,78.494514,65.743653,52.105132,89.452214,84.27605,54.490114,78.617605,72.911461
22:15.4,48.935018,93.878617,69.838933,77.777089,49.126717,88.848313,74.902387,49.296546,70.0756,74.862976
22:15.5,48.741077,96.740304,75.695755,77.291629,49.28727,89.164952,82.143823,55.376597,70.490051,75.557078
22:15.6,49.319472,92.862771,81.77044,75.734349,47.508934,87.114191,85.565012,77.398963,54.681354,80.226404
22:15.7,49.39827,88.077176,80.961552,79.492188,47.971755,89.246044,80.538089,73.779409,48.100144,68.318027
22:15.8,47.255202,93.284839,84.207417,79.970496,51.742226,87.095511,77.400503,56.622965,52.293573,81.804471
22:15.9,47.865596,89.956762,86.07607,89.400566,49.232123,85.879366,69.011306,79.689926,52.929716,67.808671
22:16.0,53.697213,87.485786,85.299174,87.574701,48.939868,87.544355,64.062297,70.493033,48.540467,74.600077
