Time,Zhangjin,Tianzi,Xiaoshi,Xinchang
19:35:7.099,69.382892,82.73377,82.033339,81.252482
19:35:7.199,68.072196,83.480155,84.964917,77.956942
19:35:7.299,64.314568,84.491728,72.609464,75.326678
19:35:7.399,69.877633,82.060856,80.652784,86.896364
19:35:7.499,56.07846,83.148501,80.538178,85.367617
19:35:7.599,67.721121,83.899589,59.206198,83.050155
19:35:7.699,66.245063,83.073566,53.153301,80.664304
19:35:7.799,68.590344,85.345389,59.032839,79.959001
19:35:7.899,60.012697,84.31749,55.661581,79.1029
19:35:7.999,65.871591,84.475571,63.124513,78.109957
19:35:8.099,64.126137,84.109523,77.399442,91.488122
19:35:8.199,65.349304,83.57406,74.076532,88.310411
19:35:8.299,67.709617,84.167207,79.803306,84.533003
19:35:8.399,73.510179,83.97298,71.741273,88.604038
19:35:8.499,71.331418,85.621427,65.064879,83.905402
19:35:8.599,71.630871,83.928678,75.908251,81.104184
19:35:8.699,65.356576,83.281917,69.793823,80.951239
19:35:8.799,70.312704,81.508487,90.488302,91.11365
19:35:8.899,72.673978,83.089686,77.605068,88.440147
19:35:8.999,72.862128,84.247366,83.542108,84.760448
19:35:9.099,73.517109,82.950736,75.062808,84.017854
19:35:9.199,75.657165,83.564289,75.027481,82.522213
19:35:9.299,70.199801,83.611912,97.050782,83.750864
19:35:9.399,68.489559,82.024514,81.287302,90.754059
19:35:9.499,59.124,82.772745,66.907429,94.801718
19:35:9.599,75.872404,81.684333,79.955294,92.936405
19:35:9.699,74.650422,80.50869,70.634778,87.86574
19:35:9.799,71.816333,79.662723,91.047038,89.700933
19:35:9.899,71.368669,80.024662,90.471022,83.831384
19:35:9.999,70.986057,80.646834,75.90632,82.819024
19:35:10.099,72.588711,81.774791,60.731743,82.956377
19:35:10.199,69.491736,81.177226,74.105648,79.299461
19:35:10.299,68.405757,80.861893,79.057374,76.172626
19:35:10.399,68.571234,81.793158,82.137418,80.614974
19:35:10.499,68.225198,82.209993,78.582588,83.710497
19:35:10.599,66.740752,82.788039,89.571319,81.171297
19:35:10.700,56.870145,86.732637,74.318887,85.234212
19:35:10.800,66.93849,86.538991,92.032435,102.151749
19:35:10.899,70.862157,86.959451,91.763631,94.872317
19:35:10.999,69.562986,86.361508,66.964571,95.187306
19:35:11.099,68.344555,87.036568,74.628652,88.051558
19:35:11.199,70.406685,87.658589,96.042271,82.249075
19:35:11.299,67.176563,87.095222,76.498197,83.404286
19:35:11.399,69.534314,88.598534,68.652345,87.09632
19:35:11.499,59.070437,88.58412,63.276002,94.67639
19:35:11.599,62.470619,90.136368,87.959214,94.444979
19:35:11.699,68.886515,86.786843,95.661644,95.32813
19:35:11.799,64.962482,85.789131,85.386866,96.176485
19:35:11.899,68.619576,87.134331,90.554665,95.950564
19:35:11.999,67.965337,84.543096,87.561234,95.546195
19:35:12.099,67.112837,84.489325,97.612206,91.554357
19:35:12.199,63.475069,84.555324,82.297016,92.242003
19:35:12.299,58.875524,84.12391,79.811387,87.553457
19:35:12.399,52.615182,84.176142,77.668748,87.689906
19:35:12.499,54.066263,84.678116,78.452247,87.815544
19:35:12.599,69.604335,84.108706,91.019846,95.792792
19:35:19.117,67.887587,92.76727,86.112321,95.690602
19:35:19.217,61.352138,88.189835,86.213273,81.606732
19:35:19.317,52.341904,90.077399,82.335746,86.047411
19:35:19.417,51.13642,90.695501,82.081091,86.750474
19:35:19.517,58.569106,104.272061,83.111351,86.279816
19:35:19.617,60.823264,85.415685,79.950474,85.117347
19:35:19.717,80.152497,85.254638,96.791236,78.127005
19:35:19.817,77.19207,88.546356,86.921021,83.792636
19:35:19.917,66.549731,96.81238,76.055572,93.837747
19:35:20.017,83.488762,101.142962,68.930202,81.601034
19:35:20.117,81.71378,86.607501,79.55585,83.467211
19:35:20.217,82.170916,85.964743,96.54018,84.966866
19:35:20.318,71.799187,85.47853,75.243059,90.387677
19:35:20.417,76.312074,98.961034,84.984177,86.568697
19:35:20.518,72.749223,88.899397,80.473588,83.497472
19:35:20.618,63.396574,86.891922,82.920149,79.209964
19:35:20.718,63.776158,88.569639,79.85795,77.65391
19:35:20.818,71.034805,87.536152,88.442794,77.958502
19:35:20.918,76.373257,96.855607,83.839945,82.284056
19:35:21.018,76.092604,83.540086,57.262718,77.753313
19:35:21.117,79.334403,95.26716,54.365543,77.191907
